Timestamp,Humidity,Temperature,Soil Moisture
2025-02-16 08:11:12,38.00,23.00,0
2025-02-16 08:11:14,38.00,23.00,0
2025-02-16 08:11:17,38.00,23.00,0
2025-02-16 08:11:19,38.00,23.00,0
2025-02-16 08:11:22,38.00,23.00,0
2025-02-16 08:11:24,38.00,23.00,0
2025-02-16 08:11:27,39.00,23.00,0
2025-02-16 08:11:29,38.00,23.00,0
2025-02-16 08:11:32,38.00,23.00,0
2025-02-16 08:11:34,39.00,23.00,0
2025-02-16 08:11:37,39.00,23.00,0
2025-02-16 08:11:39,39.00,23.00,0
2025-02-16 08:11:42,39.00,23.00,0
2025-02-16 08:11:44,39.00,23.00,0
2025-02-16 08:11:47,38.00,23.00,0
2025-02-16 08:11:49,38.00,23.00,0
2025-02-16 08:11:52,38.00,23.00,0
2025-02-16 08:11:54,38.00,23.00,0
2025-02-16 08:11:57,37.00,23.00,0
2025-02-16 08:11:59,37.00,23.00,0
2025-02-16 08:12:02,37.00,23.00,0
2025-02-16 08:12:04,38.00,23.00,0
2025-02-16 08:12:07,38.00,23.00,0
2025-02-16 08:12:09,38.00,23.00,0
2025-02-16 08:12:12,38.00,23.00,0
2025-02-16 08:12:14,38.00,23.00,0
2025-02-16 08:12:17,38.00,23.00,0
2025-02-16 08:12:19,38.00,23.00,0
2025-02-16 08:12:22,38.00,23.00,0
2025-02-16 08:12:24,38.00,23.00,0
2025-02-16 08:12:27,38.00,23.00,0
2025-02-16 08:12:29,37.00,23.00,0
2025-02-16 08:12:32,37.00,23.00,0
2025-02-16 08:12:34,37.00,23.00,0
2025-02-16 08:12:37,37.00,23.00,0
2025-02-16 08:12:39,37.00,23.00,0
2025-02-16 08:12:42,38.00,23.00,0
2025-02-16 08:12:44,38.00,23.00,0
2025-02-16 08:12:47,38.00,23.00,0
2025-02-16 08:12:49,38.00,23.00,0
2025-02-16 08:12:52,38.00,23.00,0
2025-02-16 08:12:54,38.00,23.00,0
2025-02-16 08:12:57,38.00,23.00,0
2025-02-16 08:12:59,38.00,23.00,0
2025-02-16 08:13:02,38.00,23.00,0
2025-02-16 08:13:05,38.00,23.00,0
2025-02-16 08:13:07,38.00,23.00,0
